🌐央视频道,#genre#
CCTV4,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=2025111816003523b07e4724474047933ebca2838430d7&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251118160035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=106.13.250.90&SecurityKey=20251118160035&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f9604e6ccde29468590268cb76f575f9&ddCalcu=9ff9e561708540fe667cbccd8e6229049658
CCTV4,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=20251118160035d72baa820e044402a4cf3500a63218c1&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251118160035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=106.13.250.90&SecurityKey=20251118160035&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3299e5a7da26edbfa898b57fe279175e&ddCalcu=e352e7911989e0752ae7fd7a52b68e9d8baf
CCTV4,http://116.235.57.69:4022/rtp/239.45.0.2:5140
CCTV4,http://223.198.242.211:4000/rtp/239.253.64.196:5140
CCTV4,http://114.254.38.200:18888/rtp/239.3.1.105:8092
CCTV4,http://115.171.80.57:1688/rtp/225.1.8.4:8092
CCTV4,http://27.191.202.62:19999/rtp/239.254.200.190:6307
CCTV4,http://1.58.246.115:4001/rtp/229.58.190.131:5000
CCTV4,http://111.113.88.198:2000/rtp/239.121.4.134:8786
CCTV4,http://180.105.201.177:9981/rtp/239.49.8.131:6000
CCTV4,http://171.113.214.167:4022/rtp/239.69.1.138:10466
CCTV4,http://111.162.206.238:8686/rtp/225.1.1.150:5002
CCTV4,http://171.113.214.167:4022/rtp/239.69.1.231:11028
CCTV4,http://171.113.214.167:4022/rtp/239.69.1.232:11034
CCTV4,http://223.167.245.20:8001/rtp/239.45.0.2:5140
CCTV4,http://112.66.87.3:8188/rtp/239.253.64.196:5140
CCTV4,http://60.172.82.115:8686/rtp/238.1.78.236:7760
CCTV4,http://61.159.135.108:18000/rtp/238.255.2.92:5999
CCTV4,http://106.120.13.134:4022/rtp/225.1.8.4:8092
CCTV4,http://106.116.241.180:9999/rtp/239.254.200.190:6307
CCTV4,http://1.58.246.115:4000/rtp/229.58.190.131:5000
CCTV4,http://112.66.73.108:8188/rtp/239.253.64.196:5140
CCTV4,http://123.181.124.143:82/rtp/239.254.200.190:6307
CCTV4,http://115.171.216.120:4000/rtp/225.1.8.4:8092
CCTV4,http://114.254.38.200:18888/rtp/239.3.1.213:4220
CCTV4,http://27.191.202.62:19999/rtp/239.254.201.205:4220
CCTV4,http://106.59.3.203:55555/rtp/239.200.201.180:4220
CCTV4,http://111.113.88.198:2000/rtp/239.121.4.123:8000
CCTV4,http://61.159.135.108:18000/rtp/238.255.2.213:5999
CCTV4,http://106.116.241.180:9999/rtp/239.254.201.205:4220
CCTV4,http://123.181.124.143:82/rtp/239.254.201.205:4220
CCTV4,http://114.254.38.200:18888/rtp/239.3.1.214:4220
CCTV4,http://27.191.202.62:19999/rtp/239.254.201.206:4220
CCTV4,http://106.59.3.203:55555/rtp/239.200.201.181:4220
CCTV4,http://111.113.88.198:2000/rtp/239.121.4.124:8002
CCTV4,http://61.159.135.108:18000/rtp/238.255.2.214:5999
CCTV4,http://106.116.241.180:9999/rtp/239.254.201.206:4220
CCTV4,http://123.181.124.143:82/rtp/239.254.201.206:4220
